,datetime,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore,%k,%d,macd,macd_signal,macd_hist,RSI_14,RSI_14_A_50,RSI_14_B_55,EMA10,EMA30,ATR,ClgtEMA10,EMA10gtEMA30,MACDSIGgtMACD,Return,OBV,OBV_EMA,RSI_14_A_41,RSI_14_B_51,Buy,Sell,RSI_31,RSI_31_A_41,RSI_31_B_51,RSI_14_B_56,RSI_31_B_56,RSI_14_A_46,RSI_31_A_46,prediction
2022-03-25 08:00:00,1648166400000.0,1.13,1.167,1.072,1.096,290456883.7,1648252799999.0,324802638.2671,506738.0,140613667.1,157248129.8586,0.0,77.2946859903382,87.48155862188668,0.04305243828220595,0.005125657762766158,0.03792678051943979,71.94684409484223,1,0,0.9855041859170106,0.5992955689335543,0.09499999999999997,1,1,-1,0.05109489051094873,360318630.09999996,-143032401.403451,1,0,0,0,,0,0,0,0,1,0,-1
2022-03-26 08:00:00,1648252800000.0,1.096,1.16,1.079,1.152,143117986.1,1648339199999.0,161024339.18,271206.0,75325602.0,84777494.2278,0.0,90.82125603864733,84.62157809983898,0.05447688223683156,0.01499590265757924,0.03948097957925232,75.47094962188126,1,0,1.0157761521139177,0.5992955689335543,0.08099999999999996,1,1,-1,0.0277777777777779,503436616.1999999,-76535679.58574648,1,0,0,0,,0,0,0,0,1,0,0
2022-03-27 08:00:00,1648339200000.0,1.152,1.186,1.104,1.184,135043361.8,1648425599999.0,154469498.2835,261245.0,66427046.3,76070221.5008,0.0,98.55072463768116,88.8888888888889,0.06535954479687345,0.02506863108543808,0.04029091371143537,77.23112291266433,1,0,1.0463623062750234,0.5992955689335543,0.08199999999999985,1,1,-1,-0.011824324324324342,638479978.0,-3544587.8449820103,1,0,0,0,,0,0,0,0,1,0,0
2022-03-28 08:00:00,1648425600000.0,1.184,1.246,1.157,1.17,261105698.6,1648511999999.0,313807434.4856,517027.0,130753524.4,157242155.886,0.0,83.65591397849461,91.00929821827435,0.07202420013825261,0.03445974489600099,0.037564455242251625,74.70537905286271,1,0,1.0688418869522918,0.5992955689335543,0.08899999999999997,1,1,-1,0.017948717948718107,377374279.4,35076466.46900898,1,0,0,0,,0,0,0,0,1,0,0
2022-03-29 08:00:00,1648512000000.0,1.17,1.243,1.166,1.191,180298618.0,1648598399999.0,217154215.415,341275.0,87102380.1,104947290.2019,0.0,87.8854625550661,90.03070039041394,0.07810022127308525,0.04318784017141784,0.0349123811016674,75.9746174736923,1,0,1.091052452960966,0.5992955689335543,0.07700000000000018,1,1,-1,-0.0016792611251049694,557672897.4,87738166.84186615,1,0,0,0,,0,0,0,0,1,0,0
2022-03-30 08:00:00,1648598400000.0,1.191,1.218,1.161,1.189,146032640.3,1648684799999.0,173764772.7865,233353.0,72207436.3,85956392.261,0.0,86.61971830985917,86.05369828113997,0.08181106152091044,0.050912484441316366,0.030898577079594078,75.5856174891729,1,0,1.108861097877154,0.9323666666666667,0.05699999999999994,1,1,-1,-0.0403700588730026,411640257.09999996,120198024.92228638,1,0,0,0,,0,0,0,0,1,0,0
2022-03-31 08:00:00,1648684800000.0,1.189,1.228,1.133,1.141,177164788.1,1648771199999.0,209017789.907,307148.0,85926940.4,101514333.8212,0.0,75.35211267605635,83.28576451366054,0.07995703537295684,0.05672139462764447,0.02323564074531237,66.75195186283428,1,0,1.1147045346267623,0.9458268817204302,0.09499999999999997,1,1,-1,0.021034180543382908,234475468.99999997,131593627.36222705,1,0,0,0,,0,0,0,0,1,0,0
2022-04-01 08:00:00,1648771200000.0,1.141,1.175,1.104,1.165,191221298.9,1648857599999.0,218746166.9028,274430.0,90992663.8,104169996.2526,0.0,79.54545454545455,80.50576184379001,0.07950778941233261,0.06127867358458211,0.018229115827750497,68.72037310353194,1,0,1.1238491646946236,0.9599670828997573,0.07099999999999995,1,1,-1,-0.008583690987124526,425696767.9,160790400.91490248,1,0,0,0,65.54985378231925,1,0,0,0,1,1,0
2022-04-02 08:00:00,1648857600000.0,1.165,1.195,1.145,1.155,107106263.9,1648943999999.0,125668411.1632,204659.0,51972990.2,61023356.6941,0.0,76.2402088772846,77.04592536626517,0.07745202360942383,0.06451334358955046,0.012938680019873361,66.94199548528886,1,0,1.1295129529319647,0.9725498517449342,0.050000000000000044,1,1,-1,0.026839826839826664,318590504.0,176392867.82437757,1,0,0,0,64.48852389691159,1,0,0,0,1,1,0
2022-04-03 08:00:00,1648944000000.0,1.156,1.2,1.142,1.186,78660058.3,1649030399999.0,92317779.5635,149109.0,41166239.3,48340411.9369,0.0,84.33420365535247,80.0399556926972,0.07743167121558447,0.06709700911475727,0.010334662100827202,69.57089525038263,1,0,1.1397833251261529,0.9863208290517127,0.05800000000000005,1,1,-1,0.021922428330522825,397250562.3,198151016.9812685,1,0,0,0,66.23953622256461,1,0,0,0,1,1,0
